Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,Admin_Unit_Name,Month,Month_Name,Season,Observation_Time_Bin,Distance_Approx_m,Watchlist_Flag
ANTI,ANTI-3,ANTI Site 2,ANTI-P04,Forest,2022,2022-05-24,05:40:00,05:48:00,M. Okafor,1,7.5-10 min,Non-vocal,50 - 100 Meters,False,Female,Northern Cardinal,Cardinalis cardinalis,179263,NPS-NOCA,NOCA,False,False,57.6,61.0,Light Rain,Light breeze (4-7 mph),Slight effect on count,1,Antietam National Battlefield,5,May,Spring,Early Morning (<7am),75.0,Not Listed
ANTI,ANTI-3,ANTI Site 2,ANTI-P04,Forest,2022,2022-04-03,07:50:00,07:58:00,S. Patel,1,5-7.5 min,Singing,> 100 Meters,False,Undetermined,Song Sparrow,Melospiza melodia,179231,NPS-SOSP,SOSP,False,False,67.6,57.0,Light Rain,Light breeze (4-7 mph),Slight effect on count,4,Antietam National Battlefield,4,Apr,Spring,Morning (7-9am),125.0,Not Listed
ANTI,ANTI-1,ANTI Site 3,ANTI-P05,Forest,2024,2024-05-09,09:15:00,09:23:00,R. Fischer,1,2.5-5 min,Non-vocal,> 100 Meters,False,Female,Eastern Meadowlark,Sturnella magna,179545,NPS-EAME,EAME,True,True,77.0,58.0,Light Rain,Gentle breeze (8-12 mph),Slight effect on count,3,Antietam National Battlefield,5,May,Spring,Late Morning (9-11am),125.0,At-Risk (Watchlist)
ANTI,ANTI-1,ANTI Site 1,ANTI-P01,Forest,2024,2024-05-07,08:40:00,08:48:00,S. Patel,3,5-7.5 min,Calling,> 100 Meters,False,Female,Tufted Titmouse,Baeolophus bicolor,178420,NPS-TUTI,TUTI,False,False,68.5,64.0,Clear,Gentle breeze (8-12 mph),Slight effect on count,5,Antietam National Battlefield,5,May,Spring,Morning (7-9am),125.0,Not Listed
ANTI,ANTI-3,ANTI Site 1,ANTI-P06,Forest,2023,2023-06-15,05:30:00,05:41:00,M. Okafor,3,2.5-5 min,Calling,50 - 100 Meters,False,Male,Red-winged Blackbird,Agelaius phoeniceus,179466,NPS-RWBL,RWBL,False,False,65.2,53.0,Cloudy/Overcast,Light breeze (4-7 mph),Moderate effect on count,3,Antietam National Battlefield,6,Jun,Summer,Early Morning (<7am),75.0,Not Listed
ANTI,ANTI-1,ANTI Site 3,ANTI-P04,Forest,2024,2024-06-12,07:20:00,07:31:00,K. Osei,1,2.5-5 min,Visualization,50 - 100 Meters,False,Female,Red-winged Blackbird,Agelaius phoeniceus,179466,NPS-RWBL,RWBL,False,False,65.1,54.0,Clear,Light air (1-3 mph),No effect on count,2,Antietam National Battlefield,6,Jun,Summer,Morning (7-9am),75.0,Not Listed
ANTI,ANTI-3,ANTI Site 2,ANTI-P06,Forest,2022,2022-06-18,08:15:00,08:26:00,M. Okafor,1,0-2.5 min,Calling,> 100 Meters,False,Male,Northern Cardinal,Cardinalis cardinalis,179263,NPS-NOCA,NOCA,False,False,57.4,45.0,Cloudy/Overcast,Light breeze (4-7 mph),No effect on count,5,Antietam National Battlefield,6,Jun,Summer,Morning (7-9am),125.0,Not Listed
ANTI,ANTI-3,ANTI Site 3,ANTI-P03,Forest,2023,2023-05-22,07:30:00,07:38:00,L. Martin,1,0-2.5 min,Calling,,False,Male,Eastern Meadowlark,Sturnella magna,179545,NPS-EAME,EAME,True,True,68.6,52.0,Fog/Mist,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,4,Antietam National Battlefield,5,May,Spring,Morning (7-9am),,At-Risk (Watchlist)
ANTI,ANTI-1,ANTI Site 3,ANTI-P03,Forest,2021,2021-04-16,08:10:00,08:19:00,S. Patel,2,7.5-10 min,Singing,<= 50 Meters,False,Male,Red-tailed Hawk,Buteo jamaicensis,175350,NPS-RTHA,RTHA,False,False,64.9,39.0,Cloudy/Overcast,Light breeze (4-7 mph),Slight effect on count,1,Antietam National Battlefield,4,Apr,Spring,Morning (7-9am),25.0,Not Listed
ANTI,ANTI-1,ANTI Site 2,ANTI-P06,Forest,2022,2022-07-05,07:30:00,07:39:00,A. Rivera,3,5-7.5 min,Singing,<= 50 Meters,False,Female,Tufted Titmouse,Baeolophus bicolor,178420,NPS-TUTI,TUTI,False,False,61.5,53.0,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,Slight effect on count,1,Antietam National Battlefield,7,Jul,Summer,Morning (7-9am),25.0,Not Listed
